231,139;399,067;0,015;;
248,414;400;0,029;;
259,057;400;0,049;;
268,176;400;0,064;;
276,582;401,083;0,08;;
285,396;401;0,102;;
295,598;402,289;0,115;;
315,484;402;0,132;;
321;402;0,15;;
332,383;401;0,167;;
340,082;401;0,18;;
349,845;401;0,197;;
361,338;401;0,22;;
367,67;401;0,235;;
377,214;401;0,252;;
386,015;401;0,268;;
394,88;401;0,281;;
400,672;402,224;0,299;;
407,601;403,767;0,317;;
416,735;404;0,333;;
425,032;405,005;0,35;;
431,824;405;0,364;;
438,468;405;0,387;;
448,062;405;0,4;;
453,948;405;0,415;;
458,5;405;0,434;;
464,437;405,687;0,448;;
470,996;406,833;0,465;;
477,804;407;0,484;;
482,261;408,065;0,498;;
484,406;409,203;0,519;;
486,655;409;0,536;;
488,896;409;0,548;;
491;409;0,651;;
492,079;409;0,751;;
492;411,179;0,784;;
489,831;414,254;0,805;;
487,199;418,201;0,82;;
481,937;425,61;0,835;;
473,718;434,026;0,85;;
463,919;440,801;0,868;;
